algorithm_name,env_n,size,best_solution,H,states,time
SA,7,10,"[3, 7, 4, 8, 0, 9, 1, 5, 2, 6]",0,1155,0.009973
GA,7,10,"[7, 1, 8, 2, 5, 3, 0, 9, 4, 6]",0,7433,22.936995
random,8,10,"[2, 6, 8, 3, 7, 9, 1, 8, 5, 3]",3,20000,0.196127
HC,8,10,"[1, 5, 6, 2, 9, 7, 4, 0, 3, 8]",2,541,0.004345
HCR,8,10,"[1, 7, 9, 3, 0, 4, 8, 5, 2, 6]",0,1623,0.011910
SA,8,10,"[4, 1, 9, 9, 5, 2, 8, 6, 0, 7]",1,4606,0.036717
GA,8,10,"[6, 3, 0, 4, 7, 5, 2, 9, 1, 8]",1,20000,60.875842
random,9,10,"[0, 5, 7, 9, 3, 6, 8, 2, 4, 1]",2,20000,0.205865
HC,9,10,"[2, 9, 1, 6, 0, 2, 0, 5, 8, 4]",2,541,0.003641
HCR,9,10,"[3, 0, 4, 7, 9, 2, 6, 8, 1, 5]",0,19211,0.127776
SA,9,10,"[2, 8, 5, 7, 1, 3, 0, 6, 4, 9]",0,1305,0.010245
GA,9,10,"[1, 8, 6, 3, 9, 0, 5, 4, 2, 7]",1,20000,59.712443
random,10,10,"[4, 0, 8, 0, 7, 1, 9, 2, 6, 3]",2,20000,0.196973
HC,10,10,"[2, 2, 6, 1, 9, 0, 3, 7, 4, 8]",1,631,0.005431
HCR,10,10,"[7, 0, 3, 1, 9, 5, 8, 2, 4, 6]",0,16056,0.114576
SA,10,10,"[0, 3, 8, 6, 1, 9, 2, 5, 7, 4]",0,2849,0.024508
GA,10,10,"[7, 4, 2, 0, 9, 1, 8, 5, 3, 6]",1,20000,59.268893
random,11,10,"[9, 4, 0, 5, 3, 7, 7, 3, 8, 2]",3,20000,0.198759
HC,11,10,"[5, 0, 4, 1, 7, 9, 3, 2, 8, 1]",2,631,0.004211
HCR,11,10,"[8, 1, 4, 2, 0, 9, 7, 5, 3, 6]",0,13711,0.093911
SA,11,10,"[9, 5, 2, 8, 3, 0, 7, 1, 4, 6]",0,399,0.003737
GA,11,10,"[1, 6, 9, 5, 0, 8, 4, 2, 7, 3]",0,14,0.041940
random,12,10,"[9, 9, 2, 0, 8, 6, 4, 1, 7, 5]",2,20000,0.197280
